IDCARNET_ACTIVITE;IDPERSONNEL;IDOFFRES;SEMAINE;DATE_CONTRAT;TEMPS_EXTER;TEMPS_BUREAU;KILOMETRAGES;REFERENCE;MONTANT;TRANSPORT;KMTRANSPORT;NBRETRANSPORT;JUSTIFTRANS;MTTRANSPORT;PERDIEM;NBREPERDIEM;DERNIERJOUR;JUSTIFPERDIEM;FRAISDIVERS;JUSTIFDIVERS;MTFRAISDIVERS;AVANCES;MT_LOCATION;NBREPAS;NBRENUITE;JUSTIFREPAS;JUSTIFNUITE;JUSTIFDEMARCHES;VISAING;VISARES
4061;14;2658;31;04/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4062;14;482;31;04/08/2011;;;;;0,000000;Voiture;36;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;NMA;1;0
4063;14;481;31;05/08/2011;;;;;0,000000;Voiture;56;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;AGETIP / PRECOL BARGNY;1;0
4064;14;482;31;05/08/2011;;;;;0,000000;Voiture;31;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;MERIDIEN;1;0
4065;14;482;32;08/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;NOVOTEL;1;0
4066;14;482;32;08/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;CFAO TECHNOLOGIES;1;0
4067;14;481;32;08/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;S‚n‚galaise de l'Automobile;1;0
4068;14;482;32;09/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;SONATEL;1;0
4069;14;482;32;09/08/2011;;;;;0,000000;Voiture;40;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;NESTLE;1;0
4070;14;482;32;10/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;DID;1;0
4071;14;482;32;10/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;SEID;1;0
4072;14;482;32;10/08/2011;;;;;0,000000;Voiture;56;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;SOCOCIM;1;0
4073;14;482;32;11/08/2011;;;;;0,000000;Voiture;270;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;ICS MINES;1;0
4074;14;482;32;12/08/2011;;;;;0,000000;Voiture;31;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;H“tel des Almadies;1;0
4075;14;482;32;12/08/2011;;;;;0,000000;Voiture;42;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;ICS Mbao;1;0
4076;14;482;33;16/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;SEID;1;0
4077;14;2682;33;16/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4078;14;482;33;16/08/2011;;;;;0,000000;Voiture;42;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;TOTAL Mbao;1;0
4079;14;482;33;17/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;TECHNOSUD;1;0
4080;14;481;33;17/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;DCS;1;0
4081;14;482;33;17/08/2011;;;;;0,000000;Voiture;40;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;SAR;1;0
4082;14;2658;33;18/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4083;14;482;33;18/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;SONATEL;1;0
4084;14;482;33;18/08/2011;;;;;0,000000;Voiture;56;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;SOCOCIM;1;0
4085;14;482;33;19/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;PULLMAN;1;0
4086;14;482;33;19/08/2011;;;;;0,000000;Voiture;191;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;KIRENE (SIAGRO);1;0
4087;14;482;34;22/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;BAD;1;0
4088;14;482;34;22/08/2011;;;;;0,000000;Voiture;32;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;Immeuble M DIALLO Almadies;1;0
4089;14;481;34;23/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;GAU;1;0
4090;14;482;34;23/08/2011;;;;;0,000000;Voiture;42;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;ICS MBAO;1;0
4091;14;481;34;24/08/2011;;;;;0,000000;Voiture;34;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;ADS;1;0
4092;14;2658;34;24/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4093;14;482;34;25/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;GAU;1;0
4094;14;482;34;25/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;AGETIP;1;0
4095;14;2005;34;26/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4096;14;1563;35;29/08/2011;;;;;0,000000;Voiture;31;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4097;14;482;35;30/08/2011;;;;;0,000000;Voiture;40;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;SAR;1;0
4098;14;481;35;30/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;AGETIP;1;0
4099;53;362;31;02/08/2011;;;;;0,000000;;0;0;;0,000000;;0;0;;Frais de transport ;Taxi;2 000,000000;0,000000;0,000000;1;0;;;;1;0
4100;53;2814;31;04/08/2011;;;;;0,000000;;0;0;;0,000000;;0;0;;Frais de transport ;Taxi;4 000,000000;0,000000;0,000000;1;0;;;;1;0
4101;53;2814;32;10/08/2011;;;;;0,000000;;0;0;;0,000000;;0;0;;Frais de transport ;Taxi;4 000,000000;0,000000;0,000000;1;0;;;;1;0
4102;53;2814;33;16/08/2011;;;;;0,000000;;0;0;;0,000000;;0;0;;Frais de transport ;Taxi;4 000,000000;0,000000;0,000000;1;0;;;;1;0
4103;53;2805;33;19/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4104;53;2805;34;23/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4105;53;2814;34;24/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;;1;0
4106;53;2814;35;29/08/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4107;53;2805;35;01/09/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4108;53;143;35;02/09/2011;;;;;0,000000;;0;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;;1;0
4109;53;2431;36;05/09/2011;;;;;0,000000;;0;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;;1;0
4110;53;2814;36;07/09/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;;1;0
4111;53;2805;36;08/09/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4112;53;362;37;16/09/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;;1;0
4113;53;2805;37;16/09/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4114;35;481;37;16/09/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;SGBS (aff. Virement SOMERTH -GECIø;1;1
4115;35;481;38;20/09/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;SGBS (aff. Cplt dossier virement SOMERTH);1;1
4116;35;481;36;07/09/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;SGBS( aff. doc. cptable pr Cr‚dit Bail);1;1
4117;35;481;39;26/09/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;DGID ( aff. acpte TVA d‚c.2010);1;1
4118;35;481;35;01/09/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"SGBS (Renseignements Taux pour proposition cr‚dit Bail 4 v‚h.)
";1;1
4119;35;481;37;16/09/2011;;;;;0,000000;Voiture;150;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;Alpages-GW;1;1
4120;35;481;36;08/09/2011;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;CSS ( aff. renseignement cong‚s de maternit‚ Mme Sow Astou);1;1
4121;36;2630;39;28/09/2011;;;;;0,000000;Voiture;0;0;R‚ception fonds de fouilles … Tabanding avec Georg;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;Chantier dans la r‚gion de Kaolack;;;1;0
4122;36;1351;39;27/09/2011;;;;;0,000000;Voiture;173;0;Poutres PH… d‚mollir et … reprendre aprŠs sondages;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;Chantier … Mbour;;;1;0
